E_eV,v_m_s,dEdx_ref_eV_per_m,SN_eV_m2,nu_ref_s-1,CSDA_range_ref_m
1.000000000000e+03,1.304309512528e+06,8.431107762959e+02,8.431107762959e-20,5.498465087254e+05,3.304141700494e+00
1.047128548051e+03,1.334690337440e+06,9.262864412359e+02,9.262864412359e-20,5.903400990176e+05,3.357199925068e+00
1.096478196143e+03,1.365778790739e+06,1.030169100072e+03,1.030169100072e-19,6.416019098054e+05,3.408126775996e+00
1.148153621497e+03,1.397591352924e+06,1.134252809324e+03,1.134252809324e-19,6.903465389166e+05,3.456455611196e+00
1.202264434617e+03,1.430144888212e+06,1.244137472506e+03,1.244137472506e-19,7.399899575872e+05,3.502085216478e+00
1.258925411794e+03,1.463456653460e+06,1.355734840770e+03,1.355734840770e-19,7.880111938322e+05,3.545426416949e+00
1.318256738556e+03,1.497544307303e+06,1.474510100955e+03,1.474510100955e-19,8.375400134245e+05,3.586993187721e+00
1.380384264603e+03,1.532425919499e+06,1.627151288288e+03,1.627151288288e-19,9.032041793776e+05,3.626941359522e+00
1.445439770746e+03,1.568119980487e+06,1.776129806035e+03,1.776129806035e-19,9.634582659844e+05,3.665388625476e+00
1.513561248436e+03,1.604645411174e+06,1.894860856542e+03,1.894860856542e-19,1.004467151970e+06,3.702594091103e+00
1.584893192461e+03,1.642021572944e+06,2.012036513109e+03,2.012036513109e-19,1.042304210930e+06,3.738998069343e+00
1.659586907438e+03,1.680268277902e+06,2.130477032435e+03,2.130477032435e-19,1.078538671392e+06,3.775060462098e+00
1.737800828749e+03,1.719405799350e+06,2.250090026581e+03,2.250090026581e-19,1.113163610223e+06,3.810697845464e+00
1.819700858610e+03,1.759454882513e+06,2.427413434187e+03,2.427413434187e-19,1.173554085204e+06,3.845650376371e+00
1.905460717963e+03,1.800436755510e+06,2.603211555612e+03,2.603211555612e-19,1.229897974352e+06,3.879821661377e+00
1.995262314969e+03,1.842373140575e+06,2.774523636393e+03,2.774523636393e-19,1.280997636908e+06,3.913347457838e+00
2.000000000000e+03,1.844559108996e+06,2.783234049547e+03,2.783234049547e-19,1.283496371541e+06,3.915060361464e+00
2.089296130854e+03,1.885286265545e+06,2.936605955015e+03,2.936605955015e-19,1.324969449553e+06,3.946408814854e+00
2.187761623950e+03,1.929198875608e+06,3.093213855085e+03,3.093213855085e-19,1.363862033401e+06,3.979072582098e+00
2.290867652768e+03,1.974134245326e+06,3.249313292832e+03,3.249313292832e-19,1.400078537497e+06,4.011402307351e+00
2.398832919019e+03,2.020116190936e+06,3.448309022112e+03,3.448309022112e-19,1.452002359716e+06,4.043462701807e+00
2.511886431510e+03,2.067169082933e+06,3.659550533028e+03,3.659550533028e-19,1.505876100505e+06,4.075314500779e+00
2.630267991895e+03,2.115317858944e+06,3.850868984783e+03,3.850868984783e-19,1.548533483294e+06,4.107064641859e+00
2.754228703338e+03,2.164588036903e+06,3.965502805142e+03,3.965502805142e-19,1.558333836518e+06,4.138887847895e+00
2.884031503127e+03,2.215005728526e+06,4.081489473810e+03,4.081489473810e-19,1.567405333464e+06,4.171027324769e+00
3.019951720402e+03,2.266597653098e+06,4.245528619055e+03,4.245528619055e-19,1.593290003144e+06,4.203591217866e+00
3.162277660168e+03,2.319391151581e+06,4.417330741283e+03,4.417330741283e-19,1.620031334939e+06,4.236490846747e+00
3.311311214826e+03,2.373414201043e+06,4.585069600091e+03,4.585069600091e-19,1.643273641516e+06,4.269637675547e+00
3.467368504525e+03,2.428695429421e+06,4.748685256327e+03,4.748685256327e-19,1.663174520580e+06,4.303044561088e+00
3.630780547701e+03,2.485264130626e+06,4.934250912905e+03,4.934250912905e-19,1.688830919560e+06,4.336771977754e+00
3.801893963206e+03,2.543150279993e+06,5.119359415828e+03,5.119359415828e-19,1.712304863066e+06,4.370853713869e+00
