E_eV,v_m_s,dEdx_ref_eV_per_m,SN_eV_m2,nu_ref_s-1,CSDA_range_ref_m
9.120108393559e+04,1.244809040042e+07,6.453392059117e+03,6.453392059117e-19,4.409839771277e+05,1.535574668335e+01
9.549925860214e+04,1.273765544316e+07,6.304033540914e+03,6.304033540914e-19,4.209848929240e+05,1.602923457286e+01
1.000000000000e+05,1.303393758937e+07,6.159198335543e+03,6.159198335543e-19,4.019629689464e+05,1.675120299679e+01
1.047128548051e+05,1.333709132109e+07,6.010652702000e+03,6.010652702000e-19,3.833522382648e+05,1.752578541641e+01
1.096478196143e+05,1.364727457766e+07,5.862833229453e+03,5.862833229453e-19,3.654257141728e+05,1.835716874190e+01
1.148153621497e+05,1.396464882617e+07,5.719409999841e+03,5.719409999841e-19,3.483844038857e+05,1.924979466979e+01
1.202264434617e+05,1.428937913295e+07,5.574682102603e+03,5.574682102603e-19,3.318518480857e+05,2.020846556284e+01
1.258925411794e+05,1.462163423585e+07,5.431134651356e+03,5.431134651356e-19,3.159600309107e+05,2.123837393995e+01
1.318256738556e+05,1.496158661749e+07,5.291750503355e+03,5.291750503355e-19,3.008563634720e+05,2.234517059308e+01
1.380384264603e+05,1.530941257928e+07,5.151641366433e+03,5.151641366433e-19,2.862362198693e+05,2.353516262413e+01
1.445439770746e+05,1.566529231630e+07,5.017297994329e+03,5.017297994329e-19,2.724387543439e+05,2.481525395804e+01
1.513561248436e+05,1.602940999280e+07,4.878501854608e+03,4.878501854608e-19,2.588847273311e+05,2.619282224543e+01
1.584893192461e+05,1.640195381857e+07,4.743506245851e+03,4.743506245851e-19,2.460035561553e+05,2.767572498594e+01
1.659586907438e+05,1.678311612580e+07,4.614042091227e+03,4.614042091227e-19,2.338548846340e+05,2.927241575582e+01
1.737800828749e+05,1.717309344657e+07,4.488760503471e+03,4.488760503471e-19,2.223388701654e+05,3.099187353464e+01
1.819700858610e+05,1.757208659085e+07,4.359920143783e+03,4.359920143783e-19,2.110535654311e+05,3.284373307530e+01
1.905460717963e+05,1.798030072490e+07,4.236081188645e+03,4.236081188645e-19,2.004032762569e+05,3.483872377842e+01
1.995262314969e+05,1.839794545001e+07,4.116280385780e+03,4.116280385780e-19,1.903150423672e+05,3.698885002046e+01
2.000000000000e+05,1.841971334996e+07,4.110187339447e+03,4.110187339447e-19,1.898087560635e+05,3.710401872242e+01
2.089296130854e+05,1.882523488146e+07,3.997832561615e+03,3.997832561615e-19,1.806432301866e+05,3.930704316576e+01
2.187761623950e+05,1.926238772764e+07,3.882554473507e+03,3.882554473507e-19,1.714529375915e+05,4.180672054885e+01
2.290867652768e+05,1.970962736917e+07,3.770111460508e+03,3.770111460508e-19,1.627096345325e+05,4.450216986729e+01
2.398832919019e+05,2.016718193793e+07,3.660042094745e+03,3.660042094745e-19,1.543754928841e+05,4.740908201678e+01
2.511886431510e+05,2.063528439579e+07,3.552361607075e+03,3.552361607075e-19,1.464347675528e+05,5.054473950076e+01
2.630267991895e+05,2.111417261300e+07,3.446322112104e+03,3.446322112104e-19,1.388414984131e+05,5.392795358745e+01
2.754228703338e+05,2.160408944603e+07,3.343413866765e+03,3.343413866765e-19,1.316411494750e+05,5.757956094028e+01
2.884031503127e+05,2.210528281461e+07,3.243288394057e+03,3.243288394057e-19,1.248035633969e+05,6.152232968244e+01
3.019951720402e+05,2.261800577789e+07,3.142796913109e+03,3.142796913109e-19,1.181951076166e+05,6.578107796205e+01
3.162277660168e+05,2.314251660945e+07,3.044534624153e+03,3.044534624153e-19,1.119045709733e+05,7.038286913642e+01
3.311311214826e+05,2.367907887098e+07,2.949261477064e+03,2.949261477064e-19,1.059463421920e+05,7.535697438167e+01
3.467368504525e+05,2.422796148431e+07,2.856616417915e+03,2.856616417915e-19,1.002934443669e+05,8.073441102270e+01
3.630780547701e+05,2.478943880161e+07,2.766461547209e+03,2.766461547209e-19,9.492824157309e+04,8.654852645786e+01
3.801893963206e+05,2.536379067342e+07,2.678577014309e+03,2.678577014309e-19,8.983125571949e+04,9.283558340830e+01
3.981071705535e+05,2.595130251426e+07,2.593209961068e+03,2.593209961068e-19,8.499943013266e+04,9.963503896937e+01
4.168693834703e+05,2.655226536540e+07,2.510362888480e+03,2.510362888480e-19,8.042154632670e+04,1.069895700374e+02
4.365158322402e+05,2.716697595456e+07,2.429891530657e+03,2.429891530657e-19,7.608220348931e+04,1.149452714694e+02
4.570881896149e+05,2.779573675203e+07,2.351726838765e+03,2.351726838765e-19,7.196911774581e+04,1.235520957707e+02
4.786300923226e+05,2.843885602292e+07,2.275786782147e+03,2.275786782147e-19,6.807018663138e+04,1.328682442041e+02
5.000000000000e+05,2.906240832589e+07,2.201221214248e+03,2.201221214248e-19,6.442724824148e+04,1.424220036396e+02
5.011872336273e+05,2.909664787502e+07,2.197133949720e+03,2.197133949720e-19,6.423194450248e+04,1.429619920514e+02
5.248074602498e+05,2.976943230178e+07,2.119063816431e+03,2.119063816431e-19,6.054955786222e+04,1.539088508471e+02
5.495408738576e+05,3.045753522003e+07,2.043457990973e+03,2.043457990973e-19,5.707007615702e+04,1.657909442136e+02
5.754399373372e+05,3.116128850178e+07,1.970237157801e+03,1.970237157801e-19,5.378245114532e+04,1.786984020264e+02
6.025595860744e+05,3.188102999953e+07,1.899393568536e+03,1.899393568536e-19,5.067807528431e+04,1.927236882073e+02
6.309573444802e+05,3.261710356453e+07,1.830768138059e+03,1.830768138059e-19,4.774473048656e+04,2.079600703655e+02
6.606934480076e+05,3.336985905731e+07,1.764306805544e+03,1.764306805544e-19,4.497355622399e+04,2.245049558126e+02
6.918309709189e+05,3.413965234973e+07,1.703390909862e+03,1.703390909862e-19,4.244169540362e+04,2.424514430120e+02
7.244359600750e+05,3.492684531784e+07,1.649956957239e+03,1.649956957239e-19,4.018377627444e+04,2.618937032137e+02
7.585775750292e+05,3.573180582478e+07,1.597627035209e+03,1.597627035209e-19,3.803276754380e+04,2.829370999734e+02
7.943282347243e+05,3.655490769272e+07,1.546452171141e+03,1.546452171141e-19,3.598556238335e+04,3.057005938884e+02
8.317637711027e+05,3.739653066313e+07,1.496192637552e+03,1.496192637552e-19,3.403248742036e+04,3.303162737626e+02
8.709635899561e+05,3.825706034424e+07,1.447082341166e+03,1.447082341166e-19,3.217504337449e+04,3.569512407192e+02
