E_eV,SN_opt3_eV_m2,SN_opt4_eV_m2,ratio_opt4_over_opt3
4.365158322402e+02,3.918428040630e-20,3.918428040630e-20,1.000000000000e+00
4.570881896149e+02,4.009699954733e-20,4.009699954733e-20,1.000000000000e+00
4.786300923226e+02,4.103097864827e-20,4.103097864827e-20,1.000000000000e+00
5.000000000000e+02,4.193695347633e-20,4.193695347633e-20,1.000000000000e+00
5.011872336273e+02,4.198671291719e-20,4.198671291719e-20,1.000000000000e+00
5.248074602498e+02,4.296470909707e-20,4.296470909707e-20,1.000000000000e+00
5.495408738576e+02,4.396548573441e-20,4.396548573441e-20,1.000000000000e+00
5.754399373372e+02,4.608218057605e-20,4.608218057605e-20,1.000000000000e+00
6.025595860744e+02,4.572790950975e-20,4.572790950975e-20,1.000000000000e+00
6.309573444802e+02,4.503457544679e-20,4.503457544679e-20,1.000000000000e+00
6.606934480076e+02,4.490690105601e-20,4.490690105601e-20,1.000000000000e+00
6.918309709189e+02,4.527061793732e-20,4.527061793732e-20,1.000000000000e+00
7.244359600750e+02,4.605915222183e-20,4.605915222183e-20,1.000000000000e+00
7.585775750292e+02,5.241860235625e-20,5.241860235625e-20,1.000000000000e+00
7.943282347243e+02,5.910937032045e-20,5.910937032045e-20,1.000000000000e+00
8.317637711027e+02,6.582924390487e-20,6.582924390487e-20,1.000000000000e+00
8.709635899561e+02,7.254633542026e-20,7.254633542026e-20,1.000000000000e+00
9.120108393559e+02,7.601139898474e-20,7.601139898474e-20,1.000000000000e+00
9.549925860214e+02,7.994773832900e-20,7.994773832900e-20,1.000000000000e+00
1.000000000000e+03,8.431107762959e-20,8.431107762959e-20,1.000000000000e+00
1.047128548051e+03,9.262864412359e-20,9.262864412359e-20,1.000000000000e+00
1.096478196143e+03,1.030169100072e-19,1.030169100072e-19,1.000000000000e+00
1.148153621497e+03,1.134252809324e-19,1.134252809324e-19,1.000000000000e+00
1.202264434617e+03,1.244137472506e-19,1.244137472506e-19,1.000000000000e+00
1.258925411794e+03,1.355734840770e-19,1.355734840770e-19,1.000000000000e+00
1.318256738556e+03,1.474510100955e-19,1.474510100955e-19,1.000000000000e+00
1.380384264603e+03,1.627151288288e-19,1.627151288288e-19,1.000000000000e+00
1.445439770746e+03,1.776129806035e-19,1.776129806035e-19,1.000000000000e+00
1.513561248436e+03,1.894860856542e-19,1.894860856542e-19,1.000000000000e+00
1.584893192461e+03,2.012036513109e-19,2.012036513109e-19,1.000000000000e+00
1.659586907438e+03,2.130477032435e-19,2.130477032435e-19,1.000000000000e+00
1.737800828749e+03,2.250090026581e-19,2.250090026581e-19,1.000000000000e+00
1.819700858610e+03,2.427413434187e-19,2.427413434187e-19,1.000000000000e+00
1.905460717963e+03,2.603211555612e-19,2.603211555612e-19,1.000000000000e+00
1.995262314969e+03,2.774523636393e-19,2.774523636393e-19,1.000000000000e+00
2.000000000000e+03,2.783234049547e-19,2.783234049547e-19,1.000000000000e+00
2.089296130854e+03,2.936605955015e-19,2.936605955015e-19,1.000000000000e+00
2.187761623950e+03,3.093213855085e-19,3.093213855085e-19,1.000000000000e+00
2.290867652768e+03,3.249313292832e-19,3.249313292832e-19,1.000000000000e+00
2.398832919019e+03,3.448309022112e-19,3.448309022112e-19,1.000000000000e+00
2.511886431510e+03,3.659550533028e-19,3.659550533028e-19,1.000000000000e+00
2.630267991895e+03,3.850868984783e-19,3.850868984783e-19,1.000000000000e+00
