event_id,radial_kinetic_energy_eV,axial_kinetic_energy_eV,total_kinetic_energy_eV,extraction_time_ns
115,3.829896569078e+02,9.332286042781e+04,9.370585008472e+04,4.259110836793e+01
117,2.544466801972e+03,9.160492193006e+04,9.414938873203e+04,4.245236402268e+01
119,3.048229088645e+03,4.866893036552e+04,5.171715945416e+04,5.072999557810e+01
124,3.888005688423e+02,4.228798137659e+04,4.267678194543e+04,5.556445473037e+01
127,1.670784889645e+03,4.575225517041e+04,4.742304006006e+04,5.471615575170e+01
128,2.834361405499e+03,2.687689537967e+04,2.971125678517e+04,6.032778305651e+01
129,5.844853598126e+03,1.152164747625e+05,1.210613283606e+05,3.969713239737e+01
134,2.261730813108e+02,7.080540518358e+04,7.103157826489e+04,4.774617527673e+01
135,1.248072070801e+03,4.252358927719e+04,4.377166134799e+04,5.411049515919e+01
139,6.017346794497e+03,4.139870932798e+04,4.741605612248e+04,5.559351030239e+01
141,6.193856234999e+02,6.730651194599e+04,6.792589756949e+04,4.889494266611e+01
144,1.712423744519e+03,3.227716869522e+04,3.398959243974e+04,5.649579657672e+01
145,1.654692200100e+02,6.099742456191e+04,6.116289378192e+04,4.866431775546e+01
146,3.244091398298e+03,5.481160686330e+04,5.805569826159e+04,5.194840408224e+01
148,1.361816271595e+02,3.312739838090e+04,3.326358000806e+04,5.622870031805e+01
153,2.406989605849e+03,6.211903133208e+04,6.452602093793e+04,4.913898610896e+01
154,1.922372478564e+03,7.456077053456e+04,7.648314301313e+04,4.628297675864e+01
156,5.125212185927e+02,5.042178913844e+04,5.093431035704e+04,5.234918513411e+01
157,7.727417335493e+02,8.032352896811e+04,8.109627070166e+04,4.599929970195e+01
160,8.156250864186e+03,7.250907572829e+04,8.066532659247e+04,4.666672979189e+01
161,2.349011419706e+03,4.153876848938e+04,4.388777990909e+04,5.344512198185e+01
164,1.244259861808e+03,8.536486077803e+04,8.660912063984e+04,4.366342344542e+01
165,1.547859421803e+03,9.308999574664e+04,9.463785516844e+04,4.286571211795e+01
166,3.636641386083e+03,1.119890187990e+05,1.156256601851e+05,3.974455579826e+01
168,2.028577136726e+02,6.503359155224e+04,6.523644926591e+04,4.773895078305e+01
173,1.638311306107e+03,8.406261919209e+04,8.570093049820e+04,4.437679603606e+01
174,4.812180520869e+02,5.235900989017e+04,5.284022794226e+04,5.106763479883e+01
175,2.735771287587e+03,8.214648156099e+04,8.488225284857e+04,4.357012770703e+01
176,6.995122849896e+02,9.706644258954e+04,9.776595487453e+04,4.189280947984e+01
180,1.081094171071e+04,7.233284911295e+04,8.314379082366e+04,4.407305462048e+01
182,1.187358485407e+03,6.927968050582e+04,7.046703899122e+04,4.741171208932e+01
183,1.655957945627e+03,7.274488386705e+04,7.440084181268e+04,4.589107064375e+01
186,7.750153447849e+00,6.279755057900e+04,6.280530073245e+04,4.854073744719e+01
187,8.016855864787e+02,4.879314699253e+04,4.959483257901e+04,5.428398025093e+01
188,4.120080415006e+02,3.440382812503e+04,3.481583616653e+04,5.695804007093e+01
190,4.274160881355e+03,1.179986566657e+04,1.607402654792e+04,6.641527772537e+01
191,3.970858875280e+03,6.688023599308e+04,7.085109486836e+04,4.858724058206e+01
193,2.466357402339e+03,9.158620040324e+04,9.405255780558e+04,4.216805089576e+01
194,4.164240291489e+03,4.887875422524e+04,5.304299451673e+04,5.148556847302e+01
195,2.218080485263e+03,4.762401121643e+04,4.984209170170e+04,5.218917538703e+01
196,1.303921461060e+03,1.005540386006e+05,1.018579600616e+05,4.223189414461e+01
197,9.328547573903e+03,6.030270622226e+04,6.963125379617e+04,4.823146427715e+01
198,3.591781999978e+04,6.599991627332e+04,1.019177362731e+05,4.683050925395e+01
200,1.614748546689e+03,1.092604277612e+05,1.108751763079e+05,4.052945228109e+01
208,9.920327209077e+03,5.570314016190e+04,6.562346737097e+04,5.013831437916e+01
209,1.757367876492e+03,7.430028916677e+04,7.605765704326e+04,4.562589547503e+01
211,2.543257226680e+03,8.199959324531e+04,8.454285047199e+04,4.554160433461e+01
212,8.441465910447e+03,1.112316147074e+05,1.196730806179e+05,4.021913331326e+01
213,3.312401325955e+03,9.386880079923e+04,9.718120212519e+04,4.285932428319e+01
215,7.629801537176e+02,9.084560413577e+04,9.160858428948e+04,4.335424351609e+01
