source_case,plane,x_mm,y_mm,z_mm,V_V,Ex_V_per_m,Ey_V_per_m,Ez_V_per_m,E_V_per_m,Eperp_V_per_m,U_mu_eV,electrode,rho_mm
transport_highfield_10_v2,y=0_xz,-23.190543261619354,5.551115123125783e-17,384.1424652435979,7249.270987263645,244751.21117663555,2496.4748619583,65320.387530317916,254692.89552990237,245054.986175109,-7249.271046988882,V3,23.190543261619354
transport_highfield_10_v2,y=0_xz,-12.60726659180736,6.938893903907228e-18,383.6954615037206,5716.6906770014375,77071.13458828194,357.6973834239723,15520.380545830092,79553.0181708238,77349.07887672607,-5716.690724100063,V3,12.60726659180736
transport_highfield_10_v2,y=0_xz,-12.71651575867768,6.938893903907228e-18,383.66822707242517,5731.279576905617,74571.99576585638,-202.28805401893024,10123.022936458352,76198.76965967516,75037.85381078471,-5731.279624124438,V3,12.71651575867768
transport_highfield_10_v2,y=0_xz,-12.638479265999342,0.0,383.61480016016526,5726.867171116147,71602.01220436666,5978.544682478925,12745.309694327725,73531.36716892531,72046.18223090551,-5726.867218298614,V3,12.638479265999342
transport_highfield_10_v2,y=0_xz,-19.403907643920917,-2.220446049250313e-16,383.967523111153,6445.164317193516,154461.2110545598,-2369.252156138538,34151.559815784305,166144.15256821067,155756.67247224812,-6445.164370293884,V3,19.403907643920917
transport_highfield_10_v2,y=0_xz,-12.754787803854285,1.3877787807814457e-17,383.5817287166474,5738.729282578758,73015.18424092379,3157.8336264568456,14773.484098407756,75583.8710496499,73432.27804343803,-5738.729329858955,V3,12.754787803854285
transport_highfield_10_v2,y=0_xz,-23.662163288281853,5.551115123125783e-17,381.72703973493935,7213.463210455397,285804.9779035816,-3947.860665446555,-19716.43021796725,315870.6400621216,286122.4234896791,-7213.463269885618,V3,23.662163288281853
transport_highfield_10_v2,y=0_xz,-23.29079080250527,1.1102230246251565e-16,377.9595407557025,6831.879764872166,180668.7526730885,1964.595550015051,-196868.84644472288,270178.19529488316,181575.32528171488,-6831.879821158603,V3,23.29079080250527
transport_highfield_10_v2,y=0_xz,-22.894316387761886,1.1102230246251565e-16,378.62434088209005,6888.9182121582635,209771.31146337476,2018.5557498265453,-154693.5668477349,269119.84576076927,211175.29907553078,-6888.918268914627,V3,22.894316387761886
transport_highfield_10_v2,y=0_xz,-22.165211081777215,0.0,378.8533468505958,6739.130894847744,195350.34985795643,-3632.0096717267706,-126882.46298599849,237316.22473613112,195915.40711382203,-6739.130950370041,V3,22.165211081777215
transport_highfield_10_v2,y=0_xz,-12.570108297295612,6.938893903907228e-18,383.6243384419094,5720.121136860261,70374.93604325029,-42.84713997845729,18922.50460012933,73224.4197963956,70592.7067035285,-5720.121183987149,V3,12.570108297295612
transport_highfield_10_v2,y=0_xz,24.676915288396856,-5.551115123125783e-17,377.8463503655365,7045.002016880276,-199642.63901076876,-3258.8453863742684,-225353.7507177632,306948.6492544814,199830.2259612357,-7045.002074922581,V3,24.676915288396856
transport_highfield_10_v2,y=0_xz,13.613542233188522,-2.636779683484747e-16,382.30551827345596,5808.9431791859915,-79469.32774258376,-806.8674007891093,-2805.9026873955263,81589.36432529631,79853.28544069125,-5808.943227044666,V3,13.613542233188522
transport_highfield_10_v2,y=0_xz,13.753421255317017,1.249000902703301e-16,382.0958612749603,5798.910977746425,-84128.71715068142,-4696.542480503992,-7310.1457315850175,87711.13238095387,84466.82622409287,-5798.911025522445,V3,13.753421255317017
transport_highfield_10_v2,y=0_xz,-22.52680029096187,0.0,378.18365190713774,6761.845772495496,177691.8347026675,448.3795558745727,-157748.9455584115,238809.22413721067,178710.4756133988,-6761.845828204938,V3,22.52680029096187
transport_highfield_10_v2,y=0_xz,-12.606521825855538,6.938893903907228e-18,383.5369566709577,5718.334474756349,71851.64789598958,3013.774688649874,17387.612781866454,75003.16971814478,72083.7871580749,-5718.334521868516,V3,12.606521825855538
transport_highfield_10_v2,y=0_xz,23.208557839544525,2.220446049250313e-16,160.81636846786262,343.32650730634924,-11955.900061002103,-147.5288436791786,3169.763615221584,13356.636899931891,11993.724273316711,-343.3265101349449,V2,23.208557839544525
transport_highfield_10_v2,y=0_xz,22.510515147909423,1.1102230246251565e-16,159.96939195688594,339.3345307826983,-11101.02780235476,-42.8575729089188,941.2524036567808,11401.86351959636,11164.152822029457,-339.33453357840494,V2,22.510515147909423
transport_highfield_10_v2,y=0_xz,24.23681875502891,3.3306690738754696e-16,159.98190699064287,368.77425602304334,-14966.594220759162,6.284081742695662,1484.6136229960232,15458.341938434954,15115.380854872452,-368.7742590612978,V2,24.23681875502891
transport_highfield_10_v2,y=0_xz,22.341573712113927,0.0,159.16600726846167,331.7933139758315,-10374.52399664911,-362.5210248938397,-679.871026693255,11464.266942758364,10462.184654846164,-331.7933167094076,V2,22.341573712113927
transport_highfield_10_v2,y=0_xz,22.27253973302958,0.0,160.92472009731898,329.7142828495946,-10511.028948368634,-89.05688091884963,2620.4293784742385,11613.661102980685,10599.774597511105,-329.71428556604195,V2,22.27253973302958
transport_highfield_10_v2,y=0_xz,-24.65100346681406,2.220446049250313e-16,157.34800203987731,355.4450346597631,12674.512267190312,-129.28361847878804,-5389.798358695585,14335.437736297336,12730.206360955322,-355.44503758820076,V2,24.65100346681406
transport_highfield_10_v2,y=0_xz,-23.717328290239337,0.0,157.0044028033867,346.89519415971245,11531.362562700933,71.08016126806925,-6141.134622262232,13330.552542065021,11592.432647419671,-346.8951970177098,V2,23.717328290239337
transport_highfield_10_v2,y=0_xz,-22.88118790372588,2.220446049250313e-16,159.77978925222,343.5927019889298,11637.735726619832,-37.459477914235094,928.4326583036811,11859.969390057531,11727.015664048577,-343.5927048197186,V2,22.88118790372588
transport_highfield_10_v2,y=0_xz,-21.08634268982682,0.0,159.2331549233973,327.3177977027517,9568.328672719468,30.479778925642428,-170.7264772976436,9748.798776599313,9664.410989559683,-327.31780039945494,V2,21.08634268982682
transport_highfield_10_v2,y=0_xz,18.38916311910412,2.220446049250313e-16,161.5871354103853,305.103972104381,-6701.208517944677,-13.51919331371132,2030.7935345947633,7237.634498309379,6738.197335769179,-305.1039746180692,V2,18.38916311910412
transport_highfield_10_v2,y=0_xz,14.126338570496298,4.440892098500626e-16,164.4082870538478,270.32602443630344,-3467.252072389594,-2.2204370658645445,3496.8635955686564,5017.519823994909,3537.3735904163623,-270.3260266634633,V2,14.126338570496298
transport_highfield_10_v2,y=0_xz,12.779124671217343,6.661338147750939e-16,164.09358791522556,268.53186966969076,-3054.693623692309,57.39299538311847,3120.2246105553545,4487.902720778904,3192.7924889764927,-268.531871882069,V2,12.779124671217343
transport_highfield_10_v2,y=0_xz,21.210246692984768,0.0,160.00238016971247,325.2641949101303,-9215.5901496797,-73.49341593985642,1022.5357206933531,9389.698258111499,9282.058591155306,-325.2641975899143,V2,21.210246692984768
transport_highfield_10_v2,y=0_xz,20.62596419081034,-1.1102230246251565e-16,164.34389339980814,300.8112212973913,-6541.522866806388,238.98720989824835,6094.350356314701,9338.173104644377,6609.26827617727,-300.81122377571234,V2,20.62596419081034
transport_highfield_10_v2,y=0_xz,20.87263749583626,0.0,155.29288342562901,304.0035068651365,-7070.937529249097,-29.077321382088837,-5647.318788261356,9732.256638398703,7160.660788386497,-304.0035093697582,V2,20.87263749583626
transport_highfield_10_v2,y=0_xz,13.581661512277066,6.661338147750939e-16,162.41750927137534,272.9234184018439,-3575.0486107619568,123.49426991921642,1874.1016549879816,4378.134843927234,3655.2893687958053,-272.92342065040316,V2,13.581661512277066
transport_highfield_10_v2,y=0_xz,16.050626306710864,-4.440892098500626e-16,159.26609307678174,292.6194115783101,-5342.351295925839,-37.466931474997224,-145.9135143985916,5611.424623852807,5571.721522940909,-292.6194139891405,V2,16.050626306710864
transport_highfield_10_v2,y=0_xz,-20.680316713859987,0.0,154.72662056333544,294.12465921283325,6020.141154246786,124.29354321789171,-5830.821770759469,9826.566211000641,6285.803599866792,-294.12466163606507,V2,20.680316713859987
transport_highfield_10_v2,y=0_xz,-12.263855948172345,-8.881784197001252e-16,162.1786087345095,272.9644705961148,3423.6006091648364,-82.42384304052143,1576.4251564483402,4343.332301124428,3648.7430519315258,-272.96447284501227,V2,12.263855948172345
transport_highfield_10_v2,y=0_xz,-17.253382204726183,-2.220446049250313e-16,159.23038534476197,297.761073165184,6186.028590368952,-73.7366394272607,-168.8825998565881,6376.347933810167,6329.291821809097,-297.76107561837557,V2,17.253382204726183
transport_highfield_10_v2,y=0_xz,-15.986885637886832,0.0,164.08623790375106,272.7253868850122,4345.385095038752,-231.50056394444118,3548.9931319405723,6727.8217423573715,4521.879250233469,-272.7253891319399,V2,15.986885637886832
transport_highfield_10_v2,y=0_xz,-14.070276039675244,0.0,156.8548697376715,276.11365496931273,4240.368712941442,-91.19963381939574,-1790.0334831421635,5155.024109668443,4403.596524085076,-276.1136572441557,V2,14.070276039675244
transport_highfield_10_v2,y=0_xz,24.96290608182619,0.0,29.339588485903086,0.42583233925384406,50.243837684803154,-0.2462938980518734,-45.9248409117527,69.30786167185737,50.51862955875404,-0.42583234276218807,V1,24.96290608182619
transport_highfield_10_v2,y=0_xz,23.362011884141204,-2.220446049250313e-16,31.489239073991005,0.6116335840256957,41.98276600599838,-0.05967847909752363,-55.3436462548637,69.62738596064524,42.22816902535188,-0.6116335890648176,V1,23.362011884141204
transport_highfield_10_v2,y=0_xz,24.092632529528313,-2.220446049250313e-16,26.597826552831336,0.35032258882696193,44.40035034307091,0.5103781891642603,-34.11963023627892,56.439996084367735,44.52273187546438,-0.3503225917131969,V1,24.092632529528313
transport_highfield_10_v2,y=0_xz,22.9097728450785,1.1102230246251565e-16,28.279794166364866,0.491833573802669,38.9856936472925,0.028026345075258564,-41.72750956022126,57.49149216429466,39.154095283760746,-0.4918335778547835,V1,22.9097728450785
transport_highfield_10_v2,y=0_xz,-24.527526778900583,2.220446049250313e-16,26.208716690533684,0.3224662756223047,-45.80953639513056,-0.36397081629959893,-27.313412788708966,55.64692496397923,46.193369724807496,-0.3224662782790373,V1,24.527526778900583
transport_highfield_10_v2,y=0_xz,-22.68701914993052,-3.3306690738754696e-16,30.948019278708617,0.6108584016443731,-39.601576778891925,0.11730374934959524,-53.43055140110755,66.65794997975672,39.83609807653471,-0.6108584066771083,V1,22.68701914993052
